ISO3,Country,Year,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct
FJI,Fiji,2007,0.33835458786986905,0.466050375695041,0.33262298310127747,0.0987557278414351,0.2110314903283485
FJI,Fiji,2008,0.342872035976843,0.4714084157775665,0.334874942803265,0.0999916209198094,0.212061202172173
FJI,Fiji,2009,0.3474442401449055,0.47686418749810255,0.33669637851926004,0.1010602736530567,0.21342893813334102
FJI,Fiji,2010,0.35193246210996454,0.48251897704697855,0.338225146027968,0.10218091323298395,0.21509182375452301
FJI,Fiji,2011,0.3562131167201985,0.48826391339062447,0.3395290432426895,0.1035368559330471,0.2170238288932645
FJI,Fiji,2012,0.3602191387884335,0.493955106879163,0.34062442274300153,0.10517816618854844,0.219194931957781
FJI,Fiji,2013,0.363968683826399,0.499668957758048,0.3413998081565935,0.1070827030197594,0.22159240228031601
FJI,Fiji,2014,0.36750999703704645,0.505367579620741,0.34189533508980297,0.1091927942319802,0.22421568331824399
FJI,Fiji,2015,0.3709412214369985,0.510953161484045,0.3421833063015775,0.11150066501491646,0.227039030819362
FJI,Fiji,2016,0.37434032900957204,0.5164115865609611,0.3425450611225175,0.11406090304063139,0.2299387701174515
FJI,Fiji,2017,0.377800792915718,0.5215040947965445,0.342630799395377,0.1166695929692059,0.233028524841985
FJI,Fiji,2018,0.381272906372276,0.5264196681118045,0.3428080633391695,0.11978309866525319,0.236263191662668
FJI,Fiji,2019,0.38479849414004197,0.5312338461542909,0.343058456667151,0.12330349786997655,0.23962226069665798
FSM,Micronesia (Federated States of),1990,0.30971994835641903,0.328135874902166,0.2091060539246315,0.0632482409430914,0.27859704988920997
FSM,Micronesia (Federated States of),1991,0.3067451226516955,0.33098166372219295,0.20935397898303398,0.06332340788278515,0.2749485890373215
FSM,Micronesia (Federated States of),1992,0.303920465571014,0.333937279490617,0.20986880131457702,0.06374529126616091,0.271383759916436
FSM,Micronesia (Federated States of),1993,0.3012618313367405,0.33702859502477,0.210640134904437,0.06450349509303299,0.2679641120640705
FSM,Micronesia (Federated States of),1994,0.2988171256183535,0.340196311102949,0.21166257201924,0.06567953442340815,0.2646252080376905
FSM,Micronesia (Federated States of),1995,0.296614168495469,0.343503245434853,0.21293004556838052,0.0672048181635727,0.261447987558704
FSM,Micronesia (Federated States of),1996,0.2947920012828325,0.3468862314172475,0.2143764921781495,0.0690205204307492,0.25841269879216
FSM,Micronesia (Federated States of),1997,0.2932850910759395,0.350427224708698,0.2160437693494695,0.0711006922649346,0.2555452510129795
FSM,Micronesia (Federated States of),1998,0.29223696824732004,0.3541682329508145,0.217950957682708,0.0733791566618032,0.252887141727127
FSM,Micronesia (Federated States of),1999,0.2916475289391335,0.35817900901771604,0.2201159882882175,0.0758278445610647,0.250525879887526
FSM,Micronesia (Federated States of),2000,0.2915124376370875,0.3625807314235985,0.2226245032612345,0.07845958040352995,0.24842845409973202
FSM,Micronesia (Federated States of),2001,0.2918234250813655,0.36748530098204,0.225469022604471,0.08133689151897945,0.2466438837696625
FSM,Micronesia (Federated States of),2002,0.29260868024175346,0.372928840423261,0.2286200396525085,0.08440428465061305,0.24519028285092298
FSM,Micronesia (Federated States of),2003,0.2938460812018095,0.37891584758910646,0.2320519613264205,0.08762355757838194,0.2440135097747525
FSM,Micronesia (Federated States of),2004,0.2955086918823915,0.3854419998884715,0.23567625342228748,0.0909283006783111,0.24317937627602498
