ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct
TON,Tonga,1982,0.008625009630155299,0.20817905364588546,0.34205819994290576,0.42274833580572213,0.24015342145251212,0.12518206975178936,0.05741284460142056
TON,Tonga,1983,0.00817570858078755,0.2019821803289115,0.34088056993918886,0.4315007387342149,0.24373390033971704,0.12846535738228815,0.059301481012209695
TON,Tonga,1984,0.0077527438835926,0.19585847375005672,0.33954449725780667,0.4402645658929828,0.24722668668706738,0.13178955167326906,0.06124832753264631
TON,Tonga,1985,0.007353487174732901,0.1898436949745361,0.33808157553029905,0.44897688382093304,0.25059294703874974,0.13513804076748237,0.0632458960147008
TON,Tonga,1986,0.00697910630399105,0.18397404753053345,0.336494542945144,0.45759916458024075,0.2538067239282842,0.13850346277451156,0.06528897787744485
TON,Tonga,1987,0.00662652482475805,0.1783107937693807,0.33478124677383847,0.4660754743102482,0.2568620970913887,0.14184585526284696,0.06736752195601245
TON,Tonga,1988,0.00629754100071785,0.1728844839024311,0.33297120512493045,0.4743433826800021,0.25973742128307714,0.14514477410860216,0.06946118728832265
TON,Tonga,1989,0.0059904172013499,0.1677217597211358,0.33103054852211755,0.4824109995023934,0.26245876752146813,0.14837015186811164,0.0715820801128136
TON,Tonga,1990,0.00570189989677295,0.16285859642985123,0.3290099140901158,0.49019676213011054,0.2649937951431497,0.15150030223751115,0.0737026647494496
TON,Tonga,1991,0.0054316349430186504,0.15833696892590882,0.326898123750629,0.49767287237567365,0.26732173119742825,0.15451488879687492,0.07583625238137034
TON,Tonga,1992,0.0051791205036596,0.15416062059331395,0.3246943402244115,0.5048367064837186,0.2694594444678342,0.1574120083944632,0.07796525362142105
TON,Tonga,1993,0.0049427852739366,0.150317609181181,0.32238001976098146,0.5117218282165318,0.2714371562141399,0.16018918232973545,0.08009548967265635
TON,Tonga,1994,0.00472298417379705,0.1467755875235329,0.31994569788561295,0.5183732242120291,0.2732964423533065,0.1628680804628749,0.0822087013958475
TON,Tonga,1995,0.00451714583553105,0.14351667864349474,0.3174014831010109,0.5248031748123996,0.27504071011075726,0.16546787879721794,0.08429458590442425
TON,Tonga,1996,0.00432238754890335,0.14048926576794651,0.31473942667451776,0.5310798164111834,0.27670073686692126,0.16800574017368355,0.0863733393705784
TON,Tonga,1997,0.00413877352457305,0.13767186254244695,0.31193156438877695,0.5372552259565584,0.2783098062789361,0.1704815575817355,0.08846386209588675
