ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct,Diabetes_Pct,Diabetes_Treated_Pct,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
PYF,French Polynesia,1987,2.27960665296555,26.10359740812299,33.911304793112876,33.22958618740156,21.16723297706093,8.3856992641034,3.6766539462372196,,,,,,,,,,,,190449.0,190.449,51.696,19.731,2.529
PYF,French Polynesia,1988,2.20465347286736,25.7742210650025,33.82185791265019,33.84476170563437,21.39733167281575,8.61923288221207,3.82819715060652,,,,,,,,,,,,195193.0,195.193,52.984,19.995,2.394
PYF,French Polynesia,1989,2.13362828409041,25.46365629895215,33.72086973655667,34.442908969317386,21.61102604527248,8.84904458584328,3.9828383382015997,,,,,,,,,,,,199643.0,199.643,54.192,20.256,2.117
PYF,French Polynesia,1990,2.06586434628736,25.17766641519559,33.61126623455281,35.01549143113268,21.8042680933937,9.07206774311508,4.13915559462387,0.1266966101254065,0.2628750647441705,0.366427315409127,0.2851779234263895,0.2415009328714795,0.0618675114200154,0.277452304578068,,,,,203776.0,203.776,55.314,20.529,1.983
PYF,French Polynesia,1991,2.00180933294642,24.91909571024611,33.49131813880759,35.56105125172352,21.97715339990405,9.2861779152341,4.2977199365853505,0.1290081179394664,0.2619547562066635,0.3642121599134705,0.288375106654943,0.2424660876231225,0.0618250150974165,0.2737346868878005,,,,,207744.0,207.744,56.391,20.822,1.874
PYF,French Polynesia,1992,1.94154965431806,24.690323203550648,33.3619349840251,36.07607289916517,22.129502146753293,9.49067858654449,4.45589216586737,0.131310807337672,0.261183365041771,0.3621573227783234,0.291920079764676,0.243637830192025,0.0621120595011622,0.270128217130363,,,,,211559.0,211.559,57.426,21.125,1.766
PYF,French Polynesia,1993,1.8849351306300801,24.49021197024854,33.223451697278826,36.561250079119,22.26223803443763,9.68576265363273,4.61324939104862,0.1336128759553325,0.260524308662365,0.360238124923777,0.295672115447659,0.2451179118284704,0.0627391642872387,0.266694764332691,,,,,215219.0,215.219,58.42,21.438,1.665
PYF,French Polynesia,1994,1.83229475483818,24.31534346256773,33.075347989090844,37.020606151068606,22.37919255824768,9.873212316762151,4.76820127605877,0.1359046671716655,0.2600002876667275,0.3585437998331979,0.2995703594960089,0.246778663747984,0.0637518274350627,0.2633555081532595,,,,,218738.0,218.738,59.375,21.764,1.58
PYF,French Polynesia,1995,1.7832589086658999,24.16381971531606,32.91800538573068,37.45616825773334,22.48116554759228,10.05451409132185,4.92048861881918,0.1382071025138745,0.259624423149847,0.357108253398395,0.303525401299619,0.2486807714239489,0.0651149786313935,0.2601724625117085,,,,,222118.0,222.118,60.293,22.105,1.488
PYF,French Polynesia,1996,1.73737976902438,24.02937261073227,32.75209647478244,37.87467843989291,22.57248170468706,10.231221810146101,5.0709749250597405,0.1405182386300545,0.259481202907231,0.356076663618861,0.3074650539215745,0.250762548218615,0.0667349715860406,0.2571693396020655,,,,,225489.0,225.489,61.208,22.46,1.525
PYF,French Polynesia,1997,1.6943250644804402,23.91005818155516,32.57674244217576,38.27980668804874,22.65410289799614,10.40388793787025,5.22181585218235,0.1428121525191105,0.259572304529671,0.355412380823823,0.311505492913695,0.253024524922595,0.0685913745767682,0.2543576515363845,,,,,229121.0,229.121,62.194,22.838,1.669
